time;Intake temp.          ;Throttle pos.                     ;Injection time             ;Vehicle speed       ;Coolant temp.     ;Lambdaintegrator 1                 ;Lambdaintegrator 2                 ;Air mass                     ;Load                         ;Current RPM                 ;Target RPM               ;Engine temp.               ;Pedal pos.                  ;Battery voltage                         ;camshaft position bank 1;camshaft position bank 2;Ignition angle              ;Knock sensor Cyl.1;Knock sensor Cyl.2;Knock sensor Cyl.3;Knock sensor Cyl.4;Knock sensor Cyl.5;Knock sensor Cyl.6;Knock sensor Cyl.7;Knock sensor Cyl.8
15983;37.5;3.52944;4.208;0;31.5;0.999424;0.999424;22;6.48355;645;650;54.75;0.786131;13.965;1.365;-0.1794;-1.5;0.937488;1.09374;0.937488;0.898426;1.09374;1.05467;0.859364;0.97655
16223;37.5;3.52944;4.208;0;31.5;0.999424;0.999424;21.8;6.51559;646;650;54.75;0.786131;13.87;1.2987;0.1482;-1.5;0.898426;1.1328;0.97655;0.859364;1.1328;1.01561;0.859364;1.01561
16416;37.5;3.52944;4.272;0;31.5;0.999424;0.999424;22.1;6.52475;649;650;54.75;0.781248;13.68;0.2184;0.0702;-1.5;0.859364;1.09374;0.97655;0.898426;1.09374;0.97655;0.820302;1.01561
16664;37.5;3.52944;4.224;0;31.5;0.999424;0.999424;21.8;6.52475;646.25;650;54.75;0.781248;13.87;-0.5421;-0.3627;-1.5;0.820302;1.01561;0.97655;0.898426;1.05467;0.937488;0.859364;1.05467
16939;37.5;3.52944;4.24;0;31.5;0.999424;0.999424;21.5;6.55679;642.25;650;54.75;0.781248;13.87;0.2379;-0.1638;-1.5;0.859364;1.01561;0.937488;0.859364;1.01561;0.898426;0.859364;1.05467
17084;37.5;3.52944;4.256;0;31.5;0.999424;0.999424;22.1;6.52475;643;650;54.75;0.781248;13.87;0.7722;-0.0078;-1.5;0.820302;0.97655;0.898426;0.859364;1.05467;0.898426;0.898426;1.01561
17225;37.5;3.52944;4.24;0;31.5;0.999424;0.999424;22.3;6.52475;645.75;650;54.75;0.786131;13.49;0.6747;0.0117;-1.5;0.859364;1.01561;0.859364;0.898426;1.01561;0.937488;0.859364;1.05467
17364;37.5;3.52944;4.256;0;31.5;0.999424;0.999424;22.2;6.53543;644.75;650;54.75;0.786131;13.87;-0.2652;0.1521;-1.5;0.859364;0.97655;0.898426;0.898426;1.01561;0.937488;0.859364;1.09374
17503;37.5;3.52944;4.192;0;31.5;0.999424;0.999424;21;6.51559;650.75;650;54.75;0.786131;13.965;0.3744;0.1014;-1.5;0.859364;0.97655;0.898426;0.859364;1.05467;0.97655;0.898426;1.09374
17719;37.5;3.52944;4.208;0;31.5;0.999424;0.999424;22;6.18905;664.5;650;54.75;0.786131;13.87;0.5304;-0.0351;-1.5;0.898426;0.937488;0.937488;0.898426;1.09374;0.937488;0.898426;1.09374
18043;37.5;3.52944;4.144;0;31.5;0.999424;0.999424;21.5;6.05935;669.75;650;54.75;0.781248;13.87;1.2051;-0.0507;-1.5;0.859364;1.01561;0.859364;0.898426;1.05467;0.97655;0.859364;1.05467
